TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/07/14
TIME	12:25:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	2700
LASTX	700
NPOINTS	2001
FIRSTY	1.55152
MAXY	1.55152
MINY	1.12735
XYDATA
2700	1.55152
2699	1.20555
2698	1.30236
2697	1.23186
2696	1.23416
2695	1.13704
2694	1.16367
2693	1.3562
2692	1.37663
2691	1.26916
2690	1.2081
2689	1.18646
2688	1.16163
2687	1.24834
2686	1.28223
2685	1.2796
2684	1.21655
2683	1.23981
2682	1.20741
2681	1.21904
2680	1.23583
2679	1.23118
2678	1.23271
2677	1.21818
2676	1.2617
2675	1.18111
2674	1.15986
2673	1.20346
2672	1.24998
2671	1.2492
2670	1.24311
2669	1.26042
2668	1.2517
2667	1.22654
2666	1.18586
2665	1.22351
2664	1.25827
2663	1.24815
2662	1.23306
2661	1.2433
2660	1.24646
2659	1.24691
2658	1.21775
2657	1.25571
2656	1.24358
2655	1.24902
2654	1.24408
2653	1.23262
2652	1.24967
2651	1.21935
2650	1.23562
2649	1.24646
2648	1.24922
2647	1.2425
2646	1.25304
2645	1.23348
2644	1.23673
2643	1.24636
2642	1.22724
2641	1.25441
2640	1.23405
2639	1.22575
2638	1.22146
2637	1.22324
2636	1.23502
2635	1.24205
2634	1.25528
2633	1.24696
2632	1.23437
2631	1.22919
2630	1.21586
2629	1.25707
2628	1.2536
2627	1.22396
2626	1.22935
2625	1.23246
2624	1.21442
2623	1.23412
2622	1.23735
2621	1.24858
2620	1.25164
2619	1.26054
2618	1.2513
2617	1.25942
2616	1.24587
2615	1.20703
2614	1.22867
2613	1.23194
2612	1.23113
2611	1.24936
2610	1.25841
2609	1.23286
2608	1.23322
2607	1.2459
2606	1.22844
2605	1.23421
2604	1.22869
2603	1.22566
2602	1.21622
2601	1.22141
2600	1.22726
2599	1.24019
2598	1.23478
2597	1.25075
2596	1.26485
2595	1.25378
2594	1.26556
2593	1.22015
2592	1.19622
2591	1.21641
2590	1.21855
2589	1.23663
2588	1.26245
2587	1.23552
2586	1.23579
2585	1.21785
2584	1.24244
2583	1.23861
2582	1.24326
2581	1.228
2580	1.23861
2579	1.23381
2578	1.22748
2577	1.22656
2576	1.24673
2575	1.2199
2574	1.23418
2573	1.23002
2572	1.2469
2571	1.22796
2570	1.23214
2569	1.21609
2568	1.22845
2567	1.21156
2566	1.23383
2565	1.24542
2564	1.22535
2563	1.24351
2562	1.26671
2561	1.23036
2560	1.2201
2559	1.20889
2558	1.21385
2557	1.22267
2556	1.23846
2555	1.23474
2554	1.22618
2553	1.22594
2552	1.21883
2551	1.21266
2550	1.22907
2549	1.23496
2548	1.23322
2547	1.23797
2546	1.22716
2545	1.23597
2544	1.22283
2543	1.23455
2542	1.22862
2541	1.22215
2540	1.23568
2539	1.24463
2538	1.23285
2537	1.23199
2536	1.22458
2535	1.21679
2534	1.23382
2533	1.2373
2532	1.23167
2531	1.23392
2530	1.22771
2529	1.22227
2528	1.22444
2527	1.22637
2526	1.23133
2525	1.22953
2524	1.23079
2523	1.2359
2522	1.22374
2521	1.23223
2520	1.22939
2519	1.23434
2518	1.22877
2517	1.23502
2516	1.22333
2515	1.22895
2514	1.22436
2513	1.22829
2512	1.22517
2511	1.22856
2510	1.21983
2509	1.23121
2508	1.23676
2507	1.22762
2506	1.22538
2505	1.2376
2504	1.22548
2503	1.22118
2502	1.23299
2501	1.22846
2500	1.22842
2499	1.2272
2498	1.22843
2497	1.22925
2496	1.22486
2495	1.23414
2494	1.2227
2493	1.22957
2492	1.22666
2491	1.23273
2490	1.22589
2489	1.22868
2488	1.21699
2487	1.22639
2486	1.23009
2485	1.22699
2484	1.22887
2483	1.23227
2482	1.2191
2481	1.22754
2480	1.22305
2479	1.22427
2478	1.22816
2477	1.22471
2476	1.23168
2475	1.22436
2474	1.2253
2473	1.22562
2472	1.2235
2471	1.22322
2470	1.2223
2469	1.22567
2468	1.22848
2467	1.22981
2466	1.22247
