TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/07/14
TIME	12:40:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	2700
LASTX	700
NPOINTS	2001
FIRSTY	1.07559
MAXY	1.28292
MINY	0.98969
XYDATA
2700	1.07559
2699	0.991674
2698	1.04036
2697	0.98969
2696	1.09453
2695	1.23973
2694	1.15798
2693	1.28292
2692	1.14225
2691	0.99489
2690	1.15206
2689	1.1448
2688	1.1429
2687	1.16298
2686	1.14201
2685	1.18603
2684	1.15472
2683	1.12079
2682	1.13991
2681	1.14808
2680	1.14524
2679	1.19856
2678	1.1365
2677	1.12501
2676	1.14528
2675	1.13831
2674	1.17379
2673	1.14207
2672	1.15792
2671	1.20222
2670	1.16802
2669	1.16666
2668	1.20889
2667	1.17109
2666	1.10925
2665	1.13684
2664	1.14873
2663	1.18382
2662	1.15887
2661	1.17161
2660	1.17691
2659	1.18215
2658	1.15141
2657	1.15751
2656	1.16751
2655	1.15927
2654	1.16982
2653	1.17288
2652	1.16968
2651	1.16286
2650	1.16744
2649	1.16768
2648	1.1587
2647	1.16232
2646	1.17094
2645	1.18117
2644	1.17645
2643	1.15806
2642	1.17061
2641	1.16291
2640	1.17171
2639	1.16172
2638	1.16251
2637	1.15888
2636	1.17504
2635	1.175
2634	1.16839
2633	1.16692
2632	1.16955
2631	1.15369
2630	1.14804
2629	1.15582
2628	1.16471
2627	1.16346
2626	1.15432
2625	1.15027
2624	1.15144
2623	1.1499
2622	1.15512
2621	1.18541
2620	1.19353
2619	1.16536
2618	1.1765
2617	1.1552
2616	1.15671
2615	1.15431
2614	1.13834
2613	1.15456
2612	1.15842
2611	1.17917
2610	1.16707
2609	1.16992
2608	1.16493
2607	1.17048
2606	1.14937
2605	1.15992
2604	1.13761
2603	1.17484
2602	1.16609
2601	1.16086
2600	1.15318
2599	1.15256
2598	1.166
2597	1.16617
2596	1.16682
2595	1.16339
2594	1.17283
2593	1.18781
2592	1.13859
2591	1.15052
2590	1.14448
2589	1.16077
2588	1.16573
2587	1.16357
2586	1.1691
2585	1.16409
2584	1.176
2583	1.16049
2582	1.13297
2581	1.15112
2580	1.14662
2579	1.14566
2578	1.17363
2577	1.16446
2576	1.16368
2575	1.17919
2574	1.15244
2573	1.14952
2572	1.15194
2571	1.14934
2570	1.15992
2569	1.15189
2568	1.15408
2567	1.1536
2566	1.16178
2565	1.16115
2564	1.1477
2563	1.16961
2562	1.16145
2561	1.15615
2560	1.16573
2559	1.1438
2558	1.14793
2557	1.1429
2556	1.16311
2555	1.15484
2554	1.17082
2553	1.15865
2552	1.16816
2551	1.15938
2550	1.16179
2549	1.15251
2548	1.15552
2547	1.15547
2546	1.15458
2545	1.15751
2544	1.15682
2543	1.16324
2542	1.15833
2541	1.1522
2540	1.14681
2539	1.15217
2538	1.16112
2537	1.15986
2536	1.16441
2535	1.16333
2534	1.16087
2533	1.15698
2532	1.14665
2531	1.14875
2530	1.15091
2529	1.15071
2528	1.15593
2527	1.15481
2526	1.15354
2525	1.14985
2524	1.15528
2523	1.14926
2522	1.14949
2521	1.15834
2520	1.15276
2519	1.15648
2518	1.15919
2517	1.16343
2516	1.15605
2515	1.15068
2514	1.15089
2513	1.14995
2512	1.1541
2511	1.15705
2510	1.15713
2509	1.1552
2508	1.15168
2507	1.15125
2506	1.1481
2505	1.14841
2504	1.15404
2503	1.15312
2502	1.15666
2501	1.15552
2500	1.14901
2499	1.15379
2498	1.15016
2497	1.15277
2496	1.15146
2495	1.15681
2494	1.15049
2493	1.1552
2492	1.15567
2491	1.15396
2490	1.14822
2489	1.15227
2488	1.14837
2487	1.15596
2486	1.15552
2485	1.15503
2484	1.15557
2483	1.15495
2482	1.15602
2481	1.15372
2480	1.15637
2479	1.14808
2478	1.1549
2477	1.15425
2476	1.1534
2475	1.15766
2474	1.15354
2473	1.15512
2472	1.15358
2471	1.15788
2470	1.15447
2469	1.15444
2468	1.15408
2467	1.15423
2466	1.15021
2465	1.1504
