TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/08/01
TIME	12:33:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2300
LASTX	700
NPOINTS	1601
FIRSTY	31.9106
MAXY	35.8673
MINY	-0.759551
XYDATA
2300	31.9106
2299	31.761
2298	31.4339
2297	31.9329
2296	30.8997
2295	31.2615
2294	30.7777
2293	31.3749
2292	31.524
2291	31.5988
2290	31.6568
2289	31.5143
2288	31.2301
2287	30.8484
2286	30.6379
2285	31.2908
2284	31.2061
2283	31.7009
2282	31.175
2281	31.923
2280	31.1594
2279	30.7678
2278	31.6674
2277	30.7758
2276	31.6761
2275	31.7669
2274	31.7771
2273	31.7347
2272	31.0037
2271	31.2542
2270	31.5328
2269	31.2101
2268	31.1059
2267	31.2348
2266	31.2395
2265	31.5138
2264	31.3033
2263	31.1843
2262	31.6304
2261	31.4289
2260	30.8362
2259	30.9559
2258	31.983
2257	32.2815
2256	31.665
2255	31.1299
2254	31.0255
2253	31.1267
2252	31.6106
2251	31.8369
2250	31.5112
2249	31.6055
2248	31.464
2247	31.7679
2246	31.9463
2245	31.1392
2244	31.5204
2243	31.5473
2242	31.5947
2241	31.2064
2240	31.0796
2239	31.8056
2238	31.5084
2237	31.4247
2236	31.8014
2235	31.1626
2234	31.3447
2233	31.9525
2232	31.6698
2231	31.1544
2230	31.3575
2229	31.4058
2228	31.6068
2227	31.6281
2226	31.6121
2225	31.1894
2224	31.1451
2223	32.0556
2222	31.3028
2221	31.6093
2220	31.8706
2219	32.0263
2218	31.749
2217	31.6843
2216	31.5078
2215	31.1117
2214	31.7299
2213	31.4709
2212	31.1992
2211	31.7638
2210	31.5777
2209	31.5632
2208	31.7144
2207	32.1119
2206	31.2013
2205	31.6026
2204	32.1328
2203	31.8232
2202	31.0815
2201	31.1426
2200	31.4362
2199	31.3188
2198	31.7542
2197	31.5949
2196	31.5669
2195	31.622
2194	31.7582
2193	30.9949
2192	31.4546
2191	31.9795
2190	31.8839
2189	32.0964
2188	31.7641
2187	31.8674
2186	32.0211
2185	31.008
2184	31.3052
2183	31.7036
2182	32.2361
2181	31.8171
2180	32.1791
2179	31.6763
2178	32.089
2177	31.2002
2176	31.6353
2175	31.689
2174	31.9615
2173	31.9124
2172	31.8471
2171	31.6019
2170	31.8643
2169	31.7314
2168	31.8591
2167	31.5421
2166	31.8702
2165	31.7712
2164	32.1812
2163	31.6883
2162	32.1065
2161	31.8491
2160	31.1976
2159	31.6491
2158	31.4317
2157	31.9865
2156	31.8497
2155	32.0653
2154	32.0429
2153	31.4917
2152	31.9525
2151	31.9897
2150	32.304
2149	31.6073
2148	31.7893
2147	32.1846
2146	31.5237
2145	31.4962
2144	32.0222
2143	31.881
2142	31.8008
2141	31.7431
2140	31.6421
2139	31.7448
2138	31.7382
2137	32.2001
2136	31.7067
2135	32.0126
2134	31.864
2133	31.6753
2132	31.874
2131	31.6768
2130	31.5926
2129	31.5925
2128	32.0281
2127	31.8988
2126	31.6293
2125	31.8524
2124	32.2172
2123	31.934
2122	31.8723
2121	31.9147
2120	32.4819
2119	31.85
2118	31.7035
2117	31.7677
2116	31.7898
2115	31.7448
2114	31.7713
2113	31.9787
2112	31.9299
2111	31.8673
2110	32.1007
2109	32.054
2108	31.955
2107	32.0014
2106	32.2332
2105	31.4122
2104	31.8462
2103	31.4139
2102	31.664
2101	31.7375
2100	31.8914
2099	32.2272
2098	32.3552
2097	32.2638
2096	31.6715
2095	31.9619
2094	31.8886
2093	31.5806
2092	31.9454
2091	31.6884
2090	31.4005
2089	31.7969
2088	32.0114
2087	32.1146
2086	32.1062
2085	31.6653
2084	32.2206
2083	32.1625
2082	31.9776
2081	31.8473
2080	32.4568
2079	32.5142
2078	32.0723
2077	31.7891
2076	31.7935
2075	32.0573
2074	32.1913
2073	32.0125
2072	32.3596
2071	31.9439
2070	31.9813
2069	32.6109
2068	31.7424
2067	32.0388
2066	31.5777
2065	32.0151
2064	31.8969
2063	31.775
