TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/08/01
TIME	12:00:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2300
LASTX	700
NPOINTS	1601
FIRSTY	2.2126
MAXY	2.94804
MINY	-0.630528
XYDATA
2300	2.2126
2299	2.34778
2298	1.78815
2297	1.78484
2296	2.43135
2295	2.0968
2294	2.01933
2293	2.33816
2292	1.85776
2291	2.57445
2290	2.26632
2289	1.83163
2288	1.96069
2287	1.89451
2286	2.14104
2285	1.81865
2284	2.45736
2283	1.95459
2282	2.67731
2281	2.46333
2280	2.41099
2279	2.61633
2278	2.36085
2277	2.34031
2276	2.16951
2275	2.17227
2274	1.47619
2273	2.28726
2272	2.15218
2271	2.19418
2270	2.60939
2269	2.24637
2268	2.46599
2267	1.89005
2266	2.03249
2265	1.7306
2264	2.12422
2263	1.9182
2262	1.89784
2261	2.39185
2260	2.47357
2259	2.00632
2258	1.67372
2257	2.14249
2256	2.17565
2255	1.28936
2254	2.05121
2253	2.44321
2252	2.94804
2251	2.23297
2250	2.28461
2249	2.2752
2248	1.94463
2247	1.97973
2246	1.7686
2245	2.01015
2244	2.39973
2243	2.23371
2242	2.3609
2241	2.40042
2240	1.48288
2239	1.97924
2238	1.69094
2237	2.07521
2236	1.74503
2235	2.12809
2234	2.00638
2233	2.01472
2232	1.68424
2231	2.15599
2230	1.74249
2229	2.40578
2228	1.86822
2227	2.47583
2226	2.03901
2225	2.65797
2224	1.61876
2223	2.17756
2222	1.89805
2221	2.10039
2220	1.69981
2219	2.1161
2218	2.35257
2217	1.65936
2216	1.69073
2215	2.12038
2214	1.69861
2213	1.74514
2212	1.38804
2211	1.73095
2210	2.30568
2209	1.84138
2208	1.82604
2207	2.48143
2206	1.64902
2205	1.53366
2204	1.79342
2203	1.55825
2202	1.90436
2201	1.68935
2200	1.89164
2199	2.21456
2198	2.17149
2197	1.85585
2196	1.97899
2195	1.53386
2194	1.99274
2193	2.08026
2192	1.54492
2191	1.94115
2190	1.52541
2189	1.78334
2188	1.74899
2187	1.61681
2186	1.73098
2185	2.00055
2184	1.79844
2183	1.80123
2182	2.12248
2181	1.55482
2180	2.02029
2179	1.79069
2178	1.89793
2177	1.72128
2176	2.21146
2175	2.12566
2174	1.6279
2173	1.51924
2172	1.9314
2171	1.50276
2170	2.04706
2169	2.03137
2168	2.14509
2167	1.74816
2166	1.93664
2165	1.64878
2164	1.85284
2163	1.75806
2162	1.33208
2161	1.51883
2160	2.22979
2159	1.87649
2158	2.30495
2157	1.58708
2156	2.04673
2155	1.57804
2154	1.86513
2153	1.69136
2152	2.05989
2151	1.32249
2150	1.73388
2149	1.78296
2148	2.07605
2147	1.51987
2146	1.81371
2145	1.77538
2144	1.95169
2143	1.82865
2142	1.15893
2141	2.24358
2140	1.86915
2139	1.52354
2138	1.90222
2137	1.8191
2136	1.9165
2135	1.47956
2134	2.0884
2133	1.39633
2132	2.02506
2131	1.65488
2130	1.46739
2129	1.51373
2128	1.6211
2127	1.46507
2126	1.52307
2125	1.75548
2124	1.93658
2123	1.78193
2122	1.78729
2121	1.3947
2120	1.68743
2119	1.8608
2118	1.23376
2117	1.31133
2116	1.76331
2115	2.07405
2114	1.7294
2113	1.99394
2112	1.27035
2111	1.3359
2110	1.36833
2109	1.29881
2108	1.43888
2107	1.29787
2106	1.77361
2105	1.75726
2104	1.62051
2103	1.93897
2102	1.47927
2101	1.87145
2100	1.50684
2099	1.40295
2098	1.11065
2097	1.75688
2096	1.70043
2095	1.65773
2094	1.33378
2093	1.63584
2092	0.701286
2091	1.51227
2090	1.3561
2089	1.67911
2088	1.18332
2087	1.50986
2086	1.7159
2085	1.4782
2084	1.53365
2083	1.72281
2082	1.70763
2081	1.31125
2080	1.26726
2079	1.71718
2078	1.30073
2077	1.65785
2076	1.72748
2075	1.51166
2074	1.31477
2073	1.37879
2072	1.75323
2071	1.62994
2070	1.36416
2069	2.06321
2068	1.68863
2067	1.47127
2066	1.29688
