TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/08/01
TIME	11:25:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2300
LASTX	700
NPOINTS	1601
FIRSTY	2.80408
MAXY	3.24546
MINY	-0.536222
XYDATA
2300	2.80408
2299	3.11291
2298	2.92831
2297	2.82722
2296	3.12805
2295	3.24546
2294	2.92976
2293	2.8702
2292	3.09087
2291	2.96214
2290	3.02916
2289	2.97922
2288	2.64577
2287	2.92731
2286	3.05311
2285	2.55216
2284	2.80332
2283	2.80521
2282	2.83303
2281	2.89021
2280	3.05985
2279	3.07118
2278	2.96621
2277	2.82607
2276	2.88317
2275	2.81706
2274	2.89103
2273	3.02667
2272	2.90593
2271	2.6854
2270	2.9561
2269	2.73862
2268	3.10191
2267	2.74613
2266	3.01366
2265	2.99086
2264	2.71429
2263	3.01652
2262	2.66893
2261	2.77979
2260	3.11303
2259	3.06496
2258	3.07836
2257	3.01078
2256	2.71961
2255	2.78136
2254	2.87253
2253	2.88195
2252	2.7748
2251	2.6898
2250	2.94609
2249	2.89771
2248	2.5263
2247	2.90837
2246	2.94272
2245	2.60693
2244	2.64525
2243	2.76038
2242	3.04169
2241	2.75403
2240	2.46551
2239	2.99939
2238	2.70232
2237	2.52652
2236	2.68486
2235	2.75072
2234	2.48182
2233	3.04756
2232	2.46514
2231	2.81268
2230	2.62098
2229	2.62216
2228	2.70201
2227	2.62981
2226	2.93317
2225	2.80408
2224	2.54061
2223	2.80492
2222	2.83656
2221	2.41677
2220	2.67047
2219	2.43697
2218	2.53572
2217	2.76413
2216	2.80835
2215	2.77776
2214	2.80687
2213	2.37383
2212	3.24011
2211	2.49283
2210	2.92196
2209	2.73082
2208	2.70531
2207	2.65484
2206	2.97185
2205	2.21535
2204	2.82793
2203	2.47159
2202	2.5987
2201	2.8007
2200	2.53657
2199	2.86421
2198	2.52394
2197	2.49093
2196	2.57709
2195	2.51535
2194	2.48277
2193	2.57752
2192	2.60382
2191	2.61373
2190	2.60748
2189	2.54293
2188	2.6027
2187	2.49843
2186	2.5041
2185	2.48664
2184	2.36414
2183	2.62795
2182	2.72166
2181	2.47379
2180	2.51534
2179	2.61986
2178	2.57837
2177	2.36322
2176	2.43981
2175	2.49142
2174	2.38101
2173	2.4509
2172	2.36932
2171	2.49488
2170	2.50203
2169	2.33425
2168	2.66537
2167	2.39386
2166	2.68677
2165	2.34867
2164	2.58925
2163	2.4068
2162	2.42962
2161	2.45891
2160	2.60371
2159	2.53332
2158	2.69362
2157	2.43145
2156	2.84186
2155	2.31291
2154	2.38163
2153	2.62433
2152	2.49581
2151	2.50705
2150	2.22875
2149	2.58768
2148	2.58429
2147	2.18527
2146	2.38064
2145	2.4696
2144	2.51764
2143	2.61613
2142	2.20866
2141	2.52796
2140	2.51569
2139	2.2756
2138	2.41996
2137	2.32517
2136	2.37534
2135	2.64291
2134	2.34666
2133	2.42052
2132	2.68701
2131	2.14769
2130	2.34938
2129	2.22952
2128	2.27641
2127	2.57591
2126	2.37549
2125	2.08195
2124	2.33308
2123	2.16322
2122	2.42688
2121	2.45221
2120	2.31369
2119	2.49136
2118	2.31022
2117	2.3
2116	2.44042
2115	2.23118
2114	2.32061
2113	2.37191
2112	2.16466
2111	2.48864
2110	2.38129
2109	2.28714
2108	2.4545
2107	2.19062
2106	2.30855
2105	2.30725
2104	2.36118
2103	2.54029
2102	2.31494
2101	2.35919
2100	2.46013
2099	2.35938
2098	2.34426
2097	2.37851
2096	2.13844
2095	2.4611
2094	2.22246
2093	2.2967
2092	2.34035
2091	2.29125
2090	2.46028
2089	2.27324
2088	2.29752
2087	2.27804
2086	2.24313
2085	2.20307
2084	2.12269
2083	2.1353
2082	2.20782
2081	2.32945
2080	2.23251
2079	2.27801
2078	2.11602
2077	2.19171
2076	2.28999
2075	2.00109
2074	2.4209
2073	2.06469
2072	2.11093
2071	2.27829
2070	2.0489
2069	2.10528
2068	2.28884
2067	2.20679
2066	2.33616
