TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/09/26
TIME	15:45:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500
LASTX	700
NPOINTS	801
FIRSTY	0.311531
MAXY	0.565935
MINY	-0.373681
XYDATA
1500	0.311531
1499	0.311211
1498	0.280685
1497	0.26607
1496	0.29142
1495	0.357624
1494	0.35432
1493	0.364658
1492	0.275257
1491	0.309565
1490	0.230117
1489	0.289608
1488	0.265711
1487	0.337779
1486	0.323213
1485	0.316263
1484	0.29049
1483	0.248599
1482	0.33979
1481	0.259311
1480	0.29157
1479	0.294551
1478	0.314999
1477	0.315619
1476	0.333038
1475	0.321993
1474	0.301327
1473	0.243783
1472	0.287369
1471	0.26428
1470	0.298236
1469	0.311528
1468	0.328224
1467	0.302413
1466	0.350289
1465	0.288272
1464	0.286243
1463	0.292145
1462	0.280933
1461	0.263663
1460	0.256915
1459	0.321308
1458	0.339501
1457	0.304123
1456	0.308967
1455	0.256658
1454	0.256764
1453	0.250872
1452	0.298121
1451	0.344177
1450	0.267832
1449	0.292767
1448	0.295663
1447	0.293873
1446	0.315988
1445	0.228816
1444	0.291939
1443	0.297159
1442	0.313693
1441	0.345139
1440	0.289544
1439	0.306384
1438	0.261359
1437	0.268352
1436	0.331019
1435	0.340584
1434	0.379492
1433	0.339529
1432	0.315634
1431	0.300086
1430	0.276201
1429	0.292276
1428	0.306461
1427	0.267079
1426	0.256423
1425	0.293742
1424	0.278406
1423	0.284731
1422	0.274283
1421	0.261387
1420	0.309261
1419	0.330368
1418	0.321519
1417	0.318872
1416	0.300392
1415	0.282933
1414	0.278259
1413	0.283127
1412	0.294345
1411	0.312584
1410	0.335011
1409	0.338028
1408	0.322568
1407	0.290972
1406	0.250101
1405	0.304146
1404	0.334734
1403	0.282022
1402	0.266028
1401	0.291268
1400	0.322836
1399	0.314875
1398	0.306563
1397	0.282944
1396	0.310831
1395	0.263166
1394	0.285802
1393	0.367077
1392	0.318892
1391	0.288463
1390	0.303877
1389	0.355794
1388	0.283808
1387	0.2802
1386	0.338099
1385	0.33561
1384	0.324761
1383	0.358621
1382	0.315128
1381	0.27003
1380	0.274913
1379	0.312339
1378	0.301905
1377	0.324376
1376	0.319465
1375	0.364413
1374	0.308601
1373	0.330302
1372	0.317247
1371	0.365474
1370	0.266623
1369	0.328193
1368	0.301017
1367	0.374933
1366	0.277976
1365	0.296233
1364	0.255756
1363	0.323617
1362	0.300872
1361	0.277081
1360	0.315094
1359	0.309526
1358	0.336779
1357	0.35631
1356	0.332495
1355	0.317168
1354	0.307813
1353	0.280734
1352	0.330862
1351	0.328772
1350	0.358635
1349	0.31643
1348	0.338872
1347	0.325721
1346	0.314805
1345	0.229981
1344	0.323554
1343	0.334469
1342	0.35874
1341	0.313437
1340	0.356981
1339	0.284237
1338	0.278545
1337	0.309262
1336	0.310009
1335	0.276957
1334	0.371735
1333	0.345968
1332	0.340098
1331	0.353883
1330	0.30771
1329	0.283919
1328	0.320183
1327	0.251189
1326	0.288969
1325	0.277389
1324	0.29681
1323	0.360654
1322	0.293361
1321	0.26617
1320	0.34222
1319	0.318925
1318	0.299314
1317	0.299159
1316	0.349015
1315	0.338794
1314	0.361819
1313	0.327477
1312	0.342107
1311	0.299987
1310	0.306058
1309	0.329976
1308	0.315815
1307	0.300008
1306	0.282232
1305	0.315416
1304	0.332378
1303	0.295214
1302	0.310046
1301	0.307136
1300	0.28186
1299	0.302149
1298	0.286952
1297	0.35434
1296	0.342308
1295	0.30188
1294	0.335162
1293	0.308294
1292	0.290873
1291	0.324854
1290	0.327509
1289	0.294929
1288	0.321745
1287	0.337348
1286	0.342441
1285	0.293713
1284	0.34112
1283	0.267564
1282	0.301774
1281	0.289351
1280	0.300795
1279	0.387213
1278	0.354343
1277	0.338764
1276	0.339193
1275	0.362366
1274	0.345384
1273	0.273164
1272	0.274488
1271	0.304551
1270	0.270696
1269	0.29015
1268	0.301415
1267	0.333801
1266	0.354304
