TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/09/15
TIME	13:17:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2700
LASTX	190
NPOINTS	2511
FIRSTY	6.83223
MAXY	21.447
MINY	-8.42365
XYDATA
2700	6.83223
2699	-8.42365
2698	-6.02015
2697	3.15817
2696	5.25954
2695	-3.63043
2694	-3.2518
2693	21.447
2692	4.91007
2691	7.04767
2690	2.1368
2689	4.14651
2688	2.01437
2687	1.18145
2686	1.24241
2685	0.0764439
2684	-1.76942
2683	-1.75287
2682	-0.267648
2681	-0.421556
2680	0.588163
2679	1.5012
2678	3.92609
2677	1.56344
2676	0.136911
2675	0.903335
2674	3.87642
2673	0.86307
2672	0.296961
2671	0.78903
2670	0.00446487
2669	1.83516
2668	1.1367
2667	-1.52381
2666	-1.465
2665	-2.40442
2664	7.00187
2663	3.77096
2662	1.06402
2661	1.51274
2660	0.33264
2659	2.60375
2658	0.611097
2657	0.148237
2656	0.243366
2655	0.212863
2654	-0.101341
2653	-0.553752
2652	-0.479902
2651	-0.328968
2650	-0.157364
2649	-0.327
2648	-0.570343
2647	-0.151204
2646	0.151417
2645	-0.201324
2644	0.853017
2643	0.682824
2642	0.221185
2641	0.253113
2640	0.982098
2639	1.08453
2638	0.193986
2637	0.0385728
2636	0.127696
2635	0.00585843
2634	0.387254
2633	0.115337
2632	-0.446299
2631	-0.381038
2630	-0.909275
2629	-0.852664
2628	1.42909
2627	-0.395891
2626	1.11914
2625	-0.0189734
2624	0.683608
2623	0.0511774
2622	0.338075
2621	-0.0840995
2620	0.559789
2619	-0.337123
2618	0.483514
2617	-0.728419
2616	-0.653177
2615	1.84697
2614	-1.13633
2613	-0.778869
2612	-0.034403
2611	0.1891
2610	0.700045
2609	0.175313
2608	0.473911
2607	0.176585
2606	1.45973
2605	-0.287167
2604	0.561442
2603	-0.519182
2602	1.21626
2601	-0.350284
2600	0.391565
2599	-0.510681
2598	-0.446602
2597	0.0245764
2596	0.545209
2595	-1.00246
2594	2.85221
2593	3.34122
2592	0.0610644
2591	0.324272
2590	0.10416
2589	-0.0663131
2588	0.373903
2587	0.369526
2586	-0.859427
2585	-0.368479
2584	-0.859049
2583	-0.74797
2582	1.03505
2581	-0.313114
2580	0.300801
2579	-1.61464
2578	-0.490915
2577	0.0657591
2576	0.448952
2575	1.10536
2574	1.25508
2573	0.683325
2572	-0.468298
2571	0.514923
2570	0.0844328
2569	0.348734
2568	-0.561312
2567	0.0751219
2566	-0.331408
2565	0.501431
2564	-0.615057
2563	-0.466771
2562	-0.208824
2561	0.603198
2560	0.406375
2559	-0.0992761
2558	0.707546
2557	0.254441
2556	0.36101
2555	-0.162382
2554	0.23579
2553	0.567553
2552	0.330575
2551	0.853512
2550	0.268715
2549	-0.696599
2548	0.651119
2547	-0.219766
2546	0.313813
2545	0.197269
2544	-0.0847288
2543	0.434896
2542	0.169871
2541	-0.219721
2540	0.776581
2539	0.405001
2538	-0.422316
2537	-0.0614981
2536	0.00576938
2535	0.298138
2534	-0.0926528
2533	-0.280859
2532	-0.262709
2531	-0.3082
2530	-0.18572
2529	0.170081
2528	-0.25872
2527	0.487175
2526	0.4
2525	0.139733
2524	0.082023
2523	0.642521
2522	0.0345089
2521	-0.108335
2520	0.403478
2519	0.230896
2518	-0.294763
2517	-0.0631945
2516	-0.158967
2515	-0.134381
2514	0.00460036
2513	0.00781795
2512	-0.0273363
2511	0.614978
2510	0.387164
2509	0.169437
2508	0.283888
2507	-0.132353
2506	-0.281773
2505	0.219555
2504	0.563395
2503	-0.0635754
2502	-0.124211
2501	-0.00911773
2500	0.124335
2499	-0.00840956
2498	-0.00454559
2497	-0.0708731
2496	0.0520343
2495	-0.0531832
2494	0.267412
2493	0.11803
2492	0.342271
2491	0.553627
2490	-0.222092
2489	0.45631
2488	0.0908364
2487	-0.248969
2486	-0.0181617
2485	0.0864153
2484	-0.0077513
2483	-0.113185
2482	0.0662932
2481	-0.5565
