TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/04/14
TIME	13:10:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2700
LASTX	900
NPOINTS	1801
FIRSTY	4.36707
MAXY	5.78135
MINY	0.752253
XYDATA
2700	4.36707
2699	4.16353
2698	4.82596
2697	5.78135
2696	4.89054
2695	4.77106
2694	4.43105
2693	4.77179
2692	4.73938
2691	4.71654
2690	4.51289
2689	4.76712
2688	4.61644
2687	4.67081
2686	4.68056
2685	4.41856
2684	4.34958
2683	4.40214
2682	4.42292
2681	4.39904
2680	4.44268
2679	4.31024
2678	4.35379
2677	4.39513
2676	4.41092
2675	4.40032
2674	4.47543
2673	4.33345
2672	4.34017
2671	4.34077
2670	4.31204
2669	4.36271
2668	4.37761
2667	4.42524
2666	4.44454
2665	4.53651
2664	4.46306
2663	4.56084
2662	4.47858
2661	4.47419
2660	4.41785
2659	4.34872
2658	4.33289
2657	4.25884
2656	4.34874
2655	4.32876
2654	4.44726
2653	4.38344
2652	4.38779
2651	4.33444
2650	4.2841
2649	4.27047
2648	4.25093
2647	4.25259
2646	4.329
2645	4.33255
2644	4.35848
2643	4.31489
2642	4.33432
2641	4.30215
2640	4.30966
2639	4.24998
2638	4.21859
2637	4.21483
2636	4.23712
2635	4.18039
2634	4.22428
2633	4.20678
2632	4.29991
2631	4.22448
2630	4.32362
2629	4.37938
2628	4.35671
2627	4.36198
2626	4.27997
2625	4.29075
2624	4.17835
2623	4.114
2622	4.10587
2621	4.14217
2620	4.23515
2619	4.18825
2618	4.31575
2617	4.32228
2616	4.36408
2615	4.2355
2614	4.22107
2613	4.19111
2612	4.22725
2611	4.18565
2610	4.17889
2609	4.11727
2608	4.17465
2607	4.1854
2606	4.15652
2605	4.26007
2604	4.30256
2603	4.314
2602	4.27257
2601	4.2286
2600	4.12036
2599	4.04375
2598	4.02161
2597	4.00955
2596	4.06429
2595	4.19652
2594	4.34378
2593	4.29889
2592	4.25468
2591	4.1695
2590	4.1354
2589	4.06654
2588	4.0759
2587	4.06638
2586	4.15164
2585	4.17419
2584	4.20991
2583	4.183
2582	4.19598
2581	4.10686
2580	4.10668
2579	4.09179
2578	4.07959
2577	4.08826
2576	4.15756
2575	4.12086
2574	4.0917
2573	4.13482
2572	4.13689
2571	4.05416
2570	4.08992
2569	4.08096
2568	4.0829
2567	4.04963
2566	4.01217
2565	4.02138
2564	4.07755
2563	4.09613
2562	4.17266
2561	4.14402
2560	4.18271
2559	4.19604
2558	4.08408
2557	4.01693
2556	3.98789
2555	4.02233
2554	3.9977
2553	4.01221
2552	4.05171
2551	4.05675
2550	4.05869
2549	4.05892
2548	4.01625
2547	4.02462
2546	4.03783
2545	4.00356
2544	4.04695
2543	4.02797
2542	4.03587
2541	4.03616
2540	4.02859
2539	3.99234
2538	3.96005
2537	3.95668
2536	3.9868
2535	4.01552
2534	3.99749
2533	3.9896
2532	4.00577
2531	4.01922
2530	4.0143
2529	3.9676
2528	3.95861
2527	3.97308
2526	3.98958
2525	3.95547
2524	3.95655
2523	3.99756
2522	3.98118
2521	3.9607
2520	3.95441
2519	3.91181
2518	3.91034
2517	3.93367
2516	3.9331
2515	3.93194
2514	3.94919
2513	3.94461
2512	3.9148
2511	3.91131
2510	3.91363
2509	3.89808
2508	3.91555
2507	3.90694
2506	3.9185
2505	3.91444
2504	3.91279
2503	3.89264
2502	3.88772
2501	3.8965
2500	3.88901
2499	3.89433
2498	3.87495
2497	3.8653
2496	3.88715
2495	3.8798
2494	3.90691
2493	3.87484
2492	3.86252
2491	3.86572
2490	3.84631
2489	3.84613
2488	3.85069
2487	3.86906
2486	3.85085
2485	3.85571
2484	3.85809
2483	3.83849
2482	3.85809
2481	3.81023
2480	3.83053
2479	3.83582
2478	3.83369
2477	3.81057
2476	3.82088
2475	3.79716
2474	3.79326
2473	3.79311
2472	3.78435
2471	3.7894
2470	3.8008
2469	3.82717
2468	3.79039
2467	3.78787
2466	3.80446
